epoch,mf_loss
1,45.15594802856445
2,44.017258148193356
3,43.00418716430664
4,42.07607521057129
5,41.14773941040039
6,40.255735321044924
7,39.42945152282715
8,38.526247863769534
9,37.69702377319336
10,36.87258041381836
11,36.15273643493652
12,35.4162410736084
13,34.78655426025391
14,34.068838577270505
15,33.426453018188475
16,32.75404689788818
17,32.13490612030029
18,31.55499710083008
19,30.905059623718262
20,30.383045272827147
21,29.793147315979002
22,29.26904411315918
23,28.7808544921875
24,28.24371067047119
25,27.767847480773927
26,27.272825050354005
27,26.81034927368164
28,26.358862648010255
29,25.915925559997557
30,25.49225498199463
